Visa Class Slug,Description
dv,"Diversity visa (green card lottery) winner, and their spouse and children"
f1-family,"Unmarried son or daughter of U.S. citizen, and their children"
f2a,Spouse or child under 21 of lawful permanent resident
f2b,"Unmarried son or daughter (21 or older) of lawful permanent resident, and their children"
f3,"Married son or daughter of U.S. citizen, and their spouse and children"
f4,"Brother or sister of U.S. citizen at least 21 years of age, and their spouse and children"
eb-1,"Priority worker (extraordinary ability, outstanding professor or researcher, multinational executive or manager), and their spouse and children"
eb-2,"Professional holding an advanced degree or person of exceptional ability, and their spouse and children"
eb-3,"Skilled worker or professional, and their spouse and children"
ew,"Other worker (EB-3 jobs that need less than two years of training or experience), and their spouse and children"
eb-5,"Investor (employment creation), including the rural, high-unemployment and infrastructure set-asides, and their spouse and children"
iw,"Certain spouses of deceased U.S. citizens, and their children"
ib1,"Self-petitioning spouse of U.S. citizen, and their children"
am,"Vietnam Amerasian, and certain family members"
b2a,"Self-petitioning spouse or child of lawful permanent resident, and their children"
b2b,"Self-petitioning unmarried son or daughter of lawful permanent resident, and their children"
bc,"Broadcaster employed by the U.S. International Broadcasting Bureau or a grantee, and their spouse and children"
bx,"Self-petitioning spouse or child of lawful permanent resident, exempt from the per-country limit, and their children"
sd,"Minister of religion, and their spouse and children"
se,"Certain employees or former employees of the U.S. government abroad, and their spouse and children"
si,"Certain Iraqis or Afghans employed by the U.S. government as translators or interpreters, and their spouse and children"
sk,"Certain retired international organization employees, and their families"
sq,"Certain Iraqis or Afghans employed by or on behalf of the U.S. government, and their spouse and children"
cq,"Afghan special immigrant (employed by or on behalf of the U.S. government) admitted as a conditional permanent resident, and their spouse and children"
sr,"Certain religious workers, and their spouse and children"
su,"Spouse, child or parent of a U-1 visa holder (victim of criminal activity)"
c2,Alien in transit to United Nations Headquarters district
cw1,Commonwealth of the Northern Mariana Islands (CNMI) transitional worker
cw2,Spouse or child of CW1
e1,"Treaty trader, spouse or child"
e2,"Treaty investor, spouse or child"
e2c,"Northern Mariana Islands investor, spouse or child"
e3,Australian specialty occupation professional
e3d,Spouse or child of E3
f1,Student in an academic or language training program
t5,Unmarried sibling under age 18 of T1 under 21 years of age
u1,Victim of criminal activity
